position,location,job_type,salary,description,requirement,qualification
Contract / Temporary,"Waterloo, ON",Business Systems Analyst (SQL),DOE,< p > We are looking for exceptional Business Systems Analyst who is advanced SQL user. This is a role for someone who has been in similar position for at least 8 years. Please see the details and apply:,"- Deep knowledge on SQL
- Most of the work will be writing advanced SQL queries
- Exceptional communication skills and to work closely with technical and business partners
- Very analytical to problem solving ability
- Will require to communicate with external vendor
- It is a custom built system
- Reports on the system are SQL based
- Strong understanding and knowledge of Database Schema
- Experience with Data Mapping
- Good knowledge of XML
- Need to work on resolving issues and managing requests from business",Specialization : Technology
Permanent,"Hamilton, ON",Sr. Financial Analyst,"$84,000.00 - $98,000.00 / Yr","Our client is an established organization in Hamilton that enjoys long tenure of its employees. Due to growth, our client is hiring a Senior Financial Analyst for the FP& A Team. The Senior Financial Analyst will be in charge of driving world class strategic and financial planning methods, developing rolling forecast processes to ensure resources are leveraged with maximum effectiveness, and building long-range operating plans to support business initiatives. You will improve upon monthly and quarterly reporting and handle the operation and cultivation of data-driven planning processes. If you are looking for a pivotal role which will allow strategic input to the senior leadership of the company, this is the Senior Financial Analyst position for you! As the Senior Financial Analyst, you will help coordinate various planning cycles (quarterly forecasts, annual planning, and monthly outlooks) while providing strategic analyses and recommendations. This is a HYBRID position which requires 2 days in the office.

What you get to do every day

Review financial performance-to-date and assess potential risks and opportunities
Identify internal and external drivers impacting performance against trends
Utilize Power BI tools to manipulate and analyze large amounts of data
Collaborate with Accounting on the monthly and quarterly financial close process
Work closely together with cross functional partners across the organization
Provide monthly reporting to business partners on financial results and actions required
Work together with senior executives on strategic deep dives by developing financial models and insights on topics such as: retention forecasts, return on investment of strategic investments, strategic resource allocation and prioritization
Monitor actual results against budget and forecast in order to help managers manage their respective areas
What is in it for you?
Generous salary
Full benefits
Defined benefit pension plan
Generous vacation policy
CPA dues and professional development","Bachelor's Degree in Accounting, Business, Commerce or Finance
Professional Accounting Designation – Chartered Professional Accountant (CPA) - please note that to be considered for this position, you MUST already be a designated CPA
5+ years related work experience focused on Financial Planning & Analysis
Strong accounting, finance and analytical skills required
Knowledge of financial systems
Advanced level Microsoft Excel, Access & PowerPoint as well as working knowledge of Microsoft Word
Experience in preparing budgets, analyzing financial and related data to identify trends and relationships
Power BI experience is an asset
Experience with costing models and complex financial analysis
Strong presentation skills and ability to make presentations to senior management
Strong problem-solving abilities
Ability to work within changing and tight timelines and manage multiple projects and deadlines
Excellent communications skills
Strong interpersonal skills",Specialization : Finance and Accounting
Contract / Temporary,"Toronto, ON",Reinsurance Analyst,$28.50 - $33.00 / Hr,"Robert Half is working with a fast-growing company to hire a dedicated Reinsurance Analyst. In this position, you will conduct financial modeling on various financial products as well as have responsibility for measuring, analyzing, and forecasting performance in conjunction with operating plans. You will be charged with being responsible for advising management on the allocation of resources to best accomplish objectives and preparing reports for management. You will join a dynamic team as a key business partner in areas including forecasting, performance reporting, and expense management. This Financial Analyst role is based in the Toronto, Ontario, area and is a long-term contract / temporary employment opportunity. We seek a candidate with a strong work ethic and a demonstrated competency in financial analysis.

What you get to do every day

- Facilitate effective Business Intelligence (BI) to provide forward-looking insight and decision support

- Inspect performance to date and assess potential risks and opportunities

- Contribute to weekly, quarterly and annual Area/Segment-level Bookings and P& L forecasting

- Flexible candidate that can organize a vast amount of information while managing high expectations

- Drive monthly reporting to business partners on financial results and actions required

- Discover the root causes of internal and external facts that are influencing performance and outcomes

- Watch over annual performance by comparing actual results to their expectations

- Compile and supervise forecasting reports

- Operate with Accounting on the monthly and quarterly financial close process

- Operate with key senior executives on strategic deep dives by developing financial models and insights on topics such as: Retention forecasts, Campaign Planning & Tracking, return on investment of strategic investments, event tracking and execution, strategic resource allocation, and prioritization

- Work closely with cross-functional partners in Accounting and Operations to execute against plans","- Ability to simplify complex problems and build solutions

- Demonstrated ability to build and deliver effective presentations to audiences with wide-ranging backgrounds

- BA/BS degree in finance or a related field

- Familiarity with Business Intelligence (BI) reporting tools required

- Background in problem solving through statistical analysis or with large data sets highly valued (such as in derivatives, structured finance, or business analytics or in a similarly demanding and analytical role)

- Financial planning & analysis (go-to-market experience a plus)

- Candidates with Spreadsheet and ERP system experience will be prioritized

- Excellent oral and written communication skills

- Adeptness in Quantitative Data Analysis

- Practical knowledge of Microsoft SQL

- Demonstrated knowledge of Statistical Data Analysis

- Data Analysis experience desired

- Data Analysis Tools experience required

- Exploratory Data Analysis experience preferred

- Deep understanding of Data Analytics

- General familiarity with BigSQL

- Experience with Perform Data Analysis

- Microsoft Power BI experience highly preferred

- Background working with Power BI",Specialization : Finance & Accounting
Permanent,"Cambridge, ON",Financial Analyst,"$75,000.00 - $85,000.00 / Yr","Robert Half has an open position at a fast-growing company for an outstanding Financial Analyst. In this Financial Analyst position, you will be tasked with measuring, analyzing, and forecasting performance in conjunction with operating plans and conducting financial modeling on a wide range of financial products. In addition to advising management on the assignment of resources to best complete objectives, you will prepare reports for management. As a key business partner on a dynamic team, you will work in areas including forecasting, performance reporting, and expense management. As the Financial Analyst, you will be responsible for supporting world class strategic and financial planning methods, building long-range operating plans to support business imperatives and developing rolling forecast processes to ensure resources every quarter are consumed at maximum effectiveness. Other duties will include operationalizing and cultivating a more data-driven planning process and improved monthly and quarterly reporting. In this role, you will be directly involved in the coordination of various planning cycles (annual planning, quarterly forecasts and monthly outlooks), while providing strategic analyses and recommendations. You will provide variance analysis of bookings, revenues and expenses, clearly explaining the business reasons for variances and adjusting the outlook models to reflect operational adjustments. Located in the Cambridge, Ontario, this Financial Analyst role is a permanent employment opportunity.

What you get to do every single day

- Keep tabs on monthly and quarterly performance through the comparison of actuals versus expectations, ensuring that business partners handle their resources

- Look over performance to date while assessing potential opportunities and risks

- Compose and oversee forecasting reports

- This position requires a flexible individual who is adept at managing expectations and comfortable with handling large amounts of information

- Ensure plans are properly executed by working with cross-functional partners in Accounting and Operations

- Deliver valuable foresight and decision support by enabling effective Business Intelligence (BI)

- Develop monthly reports to business partners on financial results and if any actions are required

- Work with the Accounting team on monthly and quarterly financial close processes

- Endorse weekly, quarterly and annual Area/Segment-level Bookings as well as P& L forecasting

- Have a thorough understanding of internal and external drivers and be able to explain how they are impacting performance and trending

- Work with senior executives on strategic deep dives by developing financial models and insights on topics such as: Retention forecasts, Campaign Planning & Tracking, return on investment of strategic investments, event tracking and execution, strategic resource allocation, and prioritization","- Strong communication and social skills and able to receive criticism well

- BA/BS degree in finance or a related field

- CPA designated (or CFE completed)

- Comprehensive knowledge of financial analysis

- Variance analysis experience preferred

- Proficiency in month end closings

- Experience in problem solving through statistical analysis or with large data sets highly preferable (such as in derivatives, structured finance, or business analytics or in a similarly demanding and analytical role)

- 2+ years of experience in problem solving through statistical analysis or with large data sets highly preferable (such as in derivatives, structured finance, or business analytics or in a similarly demanding and analytical role)

- Financial planning & analysis (go-to-market experience ideal)

- Proficiency with Business Intelligence (BI) reporting tools required

- Ability to recognize, evaluate, and resolve problems effectively

- Demonstrated ability to build and deliver effective presentations to audiences with wide-ranging backgrounds

- Spreadsheet and ERP system experience recommended",Specialization : Finance and Accounting
Contract / Temporary,"Calgary, AB",Financial Analyst,DOE,"Our client in the Oil & Gas industry is looking for a Financial Analyst for a six-month contract. The Senior Financial Analyst will be responsible for effectively consolidating and communicating internal management reporting.
Typical duties include:
Effectively identify, understand, and communicate key financial performance drivers to leadership
Work with the operational asset team to track controllable and non controllable cost and capital spending against forecast and budget 
Prepare and consolidate monthly performance management reports 
Interpret and translate complex issues and present the information to a non-technical audience
Perform quantitative and qualitative analysis and clearly communicate findings
Assist with monthly forecast preparation and analysis","Experience preferences:
6 years of relevant experience
CPA designation with a solid understanding of Oil & Gas
Deep understanding of operations necessary to analyze and interpret operational reports to convert to business inputs or data 
Strong analytical, interpersonal, communication and time management abilities
SAP and Power BI experience
Proven analytical skills and a continuous improvement mindset with the ability to communicate complex information into meaningful insight
If you are available immediately with the requirements listed above, click the “Apply Now!” link. For assistance with applying, please call Robert Half at (403) 264-5301 quoting job reference number 05000-0012574753.
 Robert Half would like to take this opportunity to thank all applicants in advance for their expressed interest!
 The job you want is just an app away. Whether remote or on-site, search for a job you’ll love with the Robert Half app. Download on the App Store or get it on Google Play.",Specialization : Interim Project-Based Financial
Contract / Temporary,"Whitby, ON",Records Clerk,$37.05 - $42.90 / Hr,"This Records Analyst position is for candidates who are driven by organization, attention to detail and success. If you are a Records Analyst, you should consider a career with an established organisation via Robert Half. This is a short-term contract / temporary Records Clerk position in the Whitby, Ontario area. Are you a motivated candidate with a passion for the industry? You will do well in this role.

Your responsibilities in this role

- Complete filing tasks based on priority

- Daily pickup of documents from assigned locations

- Access information for attorneys and other legal staff upon request

- Daily distribution of mail to the appropriate secretaries

- Produce, organize, and track all loose documents and files within Document and Records Management programs

- Accurately handle all court and discovery documents, whether paper or electronically filed

- Perform rush filing jobs as requested

- Prepare and manage case files

- Report to the Manager when issues of concern arise

- Request files from storage

- Provide support to Records team members as needed

- Transport files as per request","- Strong communication and social skills

- Electronic Records experience preferred

- Batch Records experience

- Inventory Records experience

- Solid understanding of Department Records

- Ability to enter data into various electronic systems while maintaining the integrity and accuracy of the data

- Strong time management and organizational skills

- Great attention to detail

- 3+ years of work experience required and legal background preferable

- Proficient with diversified computer software and systems



If you are meticulous and proficient with computers, we want to hear from you. Contact us today!

.",Specialization : Legal
Contract / Temporary,"Toronto, ON",Treasury Analyst,$40.00 - $42.00 / Hr,"This is a contract position for 6 months with potential to extend. The Senior Analyst, Treasury Operations is responsible for Treasury and banking operational activities and support.

Core responsibilities:
Management and oversight of bank accounts and entities (maintenance, creation, termination, data update), along with documentation, system updates and compliance functions.
Cash management, Liquidity management
Work effectively with other functions across the organization including: Legal, Tax, Finance, Accounting
Attend project meetings, collaborate closely with IT, carry out Treasury Ops related tasks and maintain effective communication with key stakeholders of projects.
Build and foster relationships with banks and manage all required documentation and communication.","Qualifications:
University degree is preferred
3+ years of similar experience
SAP familiarity (ECC, Treasury Module) is beneficial
Accounting background, CPA designation is beneficial
Exceptional organization and time management skills
Strong project management and problem-solving aptitude
Strong communication and analytical background
Comfortable working and managing relationships with all levels of the organization and external parties (consultants, banks etc.)
Demonstrated ability to navigate large data sets, and present executive summary level detail",Specialization : Interim Project-Based Financial
Permanent,"Vaughan, ON",Sr. Financial Analyst,"$80,000.00 - $90,000.00 / Yr","Our long standing, well-established client is looking for their next Sr. Financial Analyst for their growing organization in York Region

Responsibilities:
• Complete corporate financial reporting on an accurate and timely basis and support processes to develop efficiencies in reporting and improve accuracy and consistency
• Provide supporting analysis for forecasting/budgeting inputs.
• Seek opportunities in financial analysis to drive and influence improvements in efficiencies and costs
• Supports the business in the day-to-day financial management functions, including but not limited to assisting other departments by providing data, reporting, standard costing and clarification of procedures specific to needs and decision processes.
• Collaborate with cross functional teams to provide financial review and analysis for remote locations and R& D teams.
• Analyzing, reviewing, and assisting with preparation of monthly financial statements.","Requirements and Experience:
• Business / Accounting Degree along with a Professional designation such as CPA (or final stages)
• Minimum of 3 years’ financial or accounting related experience
• Advanced knowledge using Excel and other Microsoft Office products / Prior experience with SAP is an asset",Specialization : Finance and Accounting
Contract / Temporary,"Toronto, ON",Treasury Analyst,$40.00 - $42.00 / Hr,"This is a contract position for 6 months with potential to extend. The Senior Analyst, Treasury Operations is responsible for Treasury and banking operational activities and support.

Core responsibilities:
Management and oversight of bank accounts and entities (maintenance, creation, termination, data update), along with documentation, system updates and compliance functions.
Cash management, Liquidity management
Work effectively with other functions across the organization including: Legal, Tax, Finance, Accounting
Attend project meetings, collaborate closely with IT, carry out Treasury Ops related tasks and maintain effective communication with key stakeholders of projects.
Build and foster relationships with banks and manage all required documentation and communication.","Qualifications:
University degree is preferred
3+ years of similar experience
SAP familiarity (ECC, Treasury Module) is beneficial
Accounting background, CPA designation is beneficial
Exceptional organization and time management skills
Strong project management and problem-solving aptitude
Strong communication and analytical background
Comfortable working and managing relationships with all levels of the organization and external parties (consultants, banks etc.)
Demonstrated ability to navigate large data sets, and present executive summary level detail",Specialization : Finance and Accounting
Permanent,"Kitchener, ON",Sr. Financial Analyst,"$70,000.00 - $100,000.00 / Yr","Robert Half is handling the recruitment for a new Senior Financial Analyst for one of their clients. The Senior Financial Analyst will supervise the establishment of long-range operating plans to support business initiatives, developing rolling forecast processes to ensure resources are leveraged with maximum effectiveness, and driving world class strategic and financial planning methods. The Senior Financial Analyst provides the operation of data-driven planning processes and improves upon monthly and quarterly reporting. Make an impact in this pivotal Senior Financial Analyst position with a company that allows you access to senior leadership with strategic input. To succeed in this role, you must have a successful track record of providing strategic analyses and recommendations as you will be directly involved in the coordination of various planning cycles (annual planning, quarterly forecasts and monthly outlooks). You will provide variance analysis of bookings, revenues and expenses, clearly explaining the business reasons for variances and adjusting the outlook models to reflect operational adjustments. This permanent employment opportunity is based in the Kitchener, Ontario area.

Responsibilities

- Present monthly reporting to business partners on financial results and actions required

- Assemble and watch forecasting reports

- Monitor monthly and quarterly performance through comparison of actuals versus expectations and enable business partners to handle their resources

- Merge with senior executives on strategic deep dives by developing financial models and insights on topics such as: Retention forecasts, Campaign Planning & Tracking, return on investment of strategic investments, event tracking and execution, strategic resource allocation and prioritization

- Decipher and resolve internal and external drivers impacting performance and trending

- Aid Accounting on the monthly and quarterly financial close process

- Provide effective Business Intelligence (BI) to provide forward-looking insight and decision support

- You will be closely collaborating with cross functional partners in Accounting and Operations to execute against plans

- Overview performance to date and assess potential risks and opportunities

- Govern weekly, quarterly and annual Area/Segment-level Bookings and P& L forecasting","- Strong presentation skills

- 2+ years experience with advanced financial analysis, planning and budget controls required

- Aptitude to simplify complex problems and build solutions

- Knowledge of KPI Reporting

- Strong familiarity with inventory analysis

- Comprehensive knowledge of variance analysis

- Bachelor's Degree in Finance, MBA preferred

- Expert proficiency with financial reporting tools",Specialization : Finance and Accounting
Permanent,"Kitchener, ON",Sr. Financial Analyst,"$90,000.00 - $100,000.00 / Yr","A client of Robert Half in the Kitchener, Ontario area needs a Senior Financial Analyst position filled immediately. Prior experience in coordinating various planning cycles (annual planning, quarterly forecasts and monthly outlooks), while providing strategic analyses and recommendations, will be crucial to the success of this role. You will contribute variance analysis of bookings, revenues and expenses, clearly explaining the business reasons for variances and adjusting the outlook models to reflect operational adjustments. In this Senior Financial Analyst role, you will develop rolling forecast processes to ensure resources are leveraged with maximum effectiveness, drive world class strategic and financial planning methods, and build long-range operating plans to support business initiatives. Put into effect and cultivate data-driven planning processes and improve upon monthly and quarterly reporting. A pivotal Senior Financial Analyst role has become available, which is a great opportunity to gain experience developing strategies with the senior leadership of a company. Apply as soon as possible! This is a permanent opportunity.

Your responsibilities in this role

- Demonstrate monthly reporting to business partners on financial results and actions required

- Govern weekly, quarterly and annual Area/Segment-level Bookings and P& L forecasting

- Cooperate closely with cross functional partners in Accounting and Operations to execute against plans

- Decipher and resolve internal and external drivers impacting performance and trending

- Create efficiencies and streamline ERP function and reporting

- Approve effective Business Intelligence (BI) to provide forward-looking insight and decision support

- Amass and examine forecasting reports

- Work together with senior executives on strategic deep dives by developing financial models and insights on topics such as: Retention forecasts, Campaign Planning & Tracking, return on investment of strategic investments, event tracking and execution, strategic resource allocation and prioritization

- Examine performance to date and assess potential risks and opportunities

- Log monthly and quarterly performance through comparison of actuals versus expectations and enable business partners to handle their resources","- Expertise in Fixed Asset Accounting

- Proficiency in month end closings

- Deeply adept with financial reporting tools

- 3+ years experience with advanced financial analysis, planning and budget controls required

- Capability to simplify complex problems and build solutions

- Bachelor's Degree in Finance, CPA OR MBA preferred",Specialization : Finance and Accounting
Permanent,"Kitchener, ON",Sr. Financial Analyst,"$90,000.00 - $100,000.00 / Yr","A client of Robert Half in the Kitchener, Ontario area needs a Senior Financial Analyst position filled immediately. Prior experience in coordinating various planning cycles (annual planning, quarterly forecasts and monthly outlooks), while providing strategic analyses and recommendations, will be crucial to the success of this role. You will contribute variance analysis of bookings, revenues and expenses, clearly explaining the business reasons for variances and adjusting the outlook models to reflect operational adjustments. In this Senior Financial Analyst role, you will develop rolling forecast processes to ensure resources are leveraged with maximum effectiveness, drive world class strategic and financial planning methods, and build long-range operating plans to support business initiatives. Put into effect and cultivate data-driven planning processes and improve upon monthly and quarterly reporting. A pivotal Senior Financial Analyst role has become available, which is a great opportunity to gain experience developing strategies with the senior leadership of a company. Apply as soon as possible! This is a permanent opportunity.

Your responsibilities in this role

- Demonstrate monthly reporting to business partners on financial results and actions required

- Govern weekly, quarterly and annual Area/Segment-level Bookings and P& L forecasting

- Cooperate closely with cross functional partners in Accounting and Operations to execute against plans

- Decipher and resolve internal and external drivers impacting performance and trending

- Create efficiencies and streamline ERP function and reporting

- Approve effective Business Intelligence (BI) to provide forward-looking insight and decision support

- Amass and examine forecasting reports

- Work together with senior executives on strategic deep dives by developing financial models and insights on topics such as: Retention forecasts, Campaign Planning & Tracking, return on investment of strategic investments, event tracking and execution, strategic resource allocation and prioritization

- Examine performance to date and assess potential risks and opportunities

- Log monthly and quarterly performance through comparison of actuals versus expectations and enable business partners to handle their resources","- Expertise in Fixed Asset Accounting

- Proficiency in month end closings

- Deeply adept with financial reporting tools

- 3+ years experience with advanced financial analysis, planning and budget controls required

- Capability to simplify complex problems and build solutions

- Bachelor's Degree in Finance, CPA OR MBA preferred",Specialization : Finance and Accounting
Permanent,"Toronto, ON",Financial Analyst,"$75,000.00 - $85,000.00 / Yr","If you have prior training in finance, Robert Half may have an excellent Financial Analyst opportunity for applicants with strong communication skills. Does working on a growing team sound appealing to you? Daily functions include conducting financial modeling on various financial products as well as measuring, analyzing, and forecasting performance in conjunction with operating plans, advising management on the allocation of resources to best accomplish objectives, and preparing reports for management. Located in the Toronto, Ontario, this Financial Analyst role is a permanent employment opportunity. Are forecasting, performance reporting, and expense management your strengths? Join a progressive team as a key business partner.

Key Responsibilities:

Reporting to the Manager, Accounting Operations, this position plays a key role in the Accounting functions. This role would be supporting Accounts Payable, Accounts Receivable, Retail Store and General Accounting.

• Ensure accounting transactions and data entry documents meet generally accepted accounting principles;
• Support the month-end closing process, including preparing and posting journals to the general ledger.
• Assist with preparation of Monthly Financial and Cash Flow Statements for internal reporting
• Reconciliation of Balance Sheet and Operating Statement Accounts and sub-ledgers;
• Maintains register of Fixed Assets and Capital Contributions
• Participates in review and analysis of monthly financial performance.
• Review monthly donation upload file for posting to general ledger;
• Review of donations and gift agreements for donor restrictions;
• Assist with annual audits for Foundation and Pension;
• Assist with year end closing procedures
• Preparation of Annual Returns (T3010) for College and Foundation;
• Reviews donor listings for annual publications;
• Supports Annual financial planning process;
• Assists other Finance functions as needed.
• Special projects as required;","Requirements:

·      Accounting education or equivalent working experience;
·      Working towards or completion of professional accounting designation (CPA);
·      Minimum three-five years related experience of full cycle accounting;
·      Strong knowledge of non-profit accounting;
·      Practical knowledge of accounting practices and relevant government legislation, including CRA charitable tax receipt guidelines;
·      Experience using databases, building queries etc.;
·      Expert Excel skills",Specialization : Finance and Accounting
Permanent,"Toronto, ON",Sr. Financial Analyst,"$80,000.00 - $95,000.00 / Yr","Robert Half is currently recruiting a Senior Financial Analyst for our Healthcare, Hospitals, Social Assistance client. The main responsibilities of this Senior Financial Analyst role will include developing rolling forecast processes to ensure resources are leveraged with maximum effectiveness, driving world class strategic and financial planning methods, and building long-range operating plans to support business initiatives. Put into effect and cultivate data-driven planning processes and improve upon monthly and quarterly reporting. Make your mark as a Senior Financial Analyst in a career-building role and gain experience working directly with senior leadership of the company and contribute your strategic input. This role will comprise of coordinating various planning cycles (annual planning, quarterly forecasts and monthly outlooks), while providing strategic analyses and recommendations. You will present variance analysis of bookings, revenues and expenses, clearly explaining the business reasons for variances and adjusting the outlook models to reflect operational adjustments. This permanent employment opportunity is based in the Toronto, Ontario area.

Key responsibilities

- Combine efforts with senior executives on strategic deep dives by developing financial models and insights on topics such as: Retention forecasts, Campaign Planning & Tracking, return on investment of strategic investments, event tracking and execution, strategic resource allocation and prioritization

- Equip effective Business Intelligence (BI) to provide forward-looking insight and decision support

- You will be closely engaged with cross functional partners in Accounting and Operations to execute against plans

- Interpret and point out internal and external drivers impacting performance and trending

- Provide assistance to Accounting on the monthly and quarterly financial close process

- Lead weekly, quarterly and annual Area/Segment-level Bookings and P& L forecasting

- Create and track forecasting reports

- Watch monthly and quarterly performance through comparison of actuals versus expectations and enable business partners to handle their resources

- Demonstrate monthly reporting to business partners on financial results and actions required

- Overview performance to date and assess potential risks and opportunities","- CPA or MBA

- 3 plus years of experience in a financial reporting and planning role in a high-volume large organization ideally health care.

- Strong presentation skills

- Ingenuity to simplify complex problems and build solutions

- 3+ years' experience with advanced financial analysis, planning and budget controls required

- Experience with Microsoft Excel

- Command of Funding Agencies

- SAP experience is an asset

- eHealth experience desired

- Deep understanding of Analytical Skills

- Highly-skilled with financial reporting tools",Specialization : Finance and Accounting
Permanent,"Toronto, ON",Senior CRM Developer,"$100,000.00 - $110,000.00 / Yr","Our client located in Toronto is looking to permanent a CRM Developer. The CRM Developer will be involved in key areas including Design & Developmet, Strategy & Planning and other areas as requested by the business.
Responsibilities:
Design, develop and enhance internal Dynamics 365 solutions, leveraging knowledge of best practices and capabilities of the CRM.
Collaborate with the the software development team (vendor and internal), business analysts, architects, and other IT professionals to identify needs, define a solution to meet those needs and implement the working, timely solution. Integrate Dynamics 365 solutions with third-party or in-house built on-prem and cloud applications.
Create written documentation including system architecture, configuration guides, presentations.
Provide recommendations for additional solutions or enhancements to existing solutions to improve overall functionality","Requirements:

·      Accounting education or equivalent working experience;
·      Working towards or completion of professional accounting designation (CPA);
·      Minimum three-five years related experience of full cycle accounting;
·      Strong knowledge of non-profit accounting;
·      Practical knowledge of accounting practices and relevant government legislation, including CRA charitable tax receipt guidelines;
·      Experience using databases, building queries etc.;
·      Expert Excel skills",Specialization : Finance and Accounting
Permanent,"Toronto, ON",Senior CRM Developer,"$100,000.00 - $110,000.00 / Yr","Our client located in Toronto is looking to permanent a CRM Developer. The CRM Developer will be involved in key areas including Design & Developmet, Strategy & Planning and other areas as requested by the business.
Responsibilities:
Design, develop and enhance internal Dynamics 365 solutions, leveraging knowledge of best practices and capabilities of the CRM.
Collaborate with the the software development team (vendor and internal), business analysts, architects, and other IT professionals to identify needs, define a solution to meet those needs and implement the working, timely solution. Integrate Dynamics 365 solutions with third-party or in-house built on-prem and cloud applications.
Create written documentation including system architecture, configuration guides, presentations.
Provide recommendations for additional solutions or enhancements to existing solutions to improve overall functionality","Key Requirements:
• Bachelor’s Degree in Business, Engineering, Computer Science or equivalent work experience
• 5+ years’ experience with development in Dynamic CRM 365, Power Platform and JavaScript frameworks
• Demonstrated proficiency in developing, deploying, customizing and integrating Microsoft Dynamics CRM, advanced configuration of CRM out of the box (OOTB) functionalities, installing and deploying CRM Organizations, customizing and creating CRM entities
• In-depth, hands-on knowledge of the Microsoft Dynamics 365 platform, the Common Data Service (CDS), security model and UCI • Experience with the Microsoft Power Platform: PowerApps – Canvas, Model-driven apps and Power Automate
• Experience working within an Agile Software Development Process
• Experience with Portal development
• Experience in Data Migration and Synchronization with Dynamics 365
• Experience using C#, SQL database queries, JavaScript, HTML, CSS and responsive web design
• Working knowledge of source control systems such as Git, TFS
• Concrete experience in development using HTML, CSS, JavaScript
• Experience in working with XML, Online payment system development and integration, ADX Studio / CRM Portal, Sitefinity and portal integration software (e.g. Portal connect, Scribe, etc.), JSON and Liquid development framework, SQL database queries
PLEASE NOTE: This role will require the individual to be in the office twice a week.",Specialization : Technology
Permanent,"East Toronto, ON",Finance Manager,"$85,000.00 - $100,000.00 / Yr","Our client in the East end of Toronto is seeking a Finance Manager for their team. The Finance Manager is responsible for providing financial leadership support to the plant. The responsibilities include managing the financial planning, budgeting and reporting processes, as well as driving the internal management review and reporting processes. The ideal candidate will support the plant in achieving its financial and operational objectives. The incumbent would also be responsible for ensuring the overall integrity of the financial data, processes and business controls for the plant.
 RESPONSIBILITIES:

· Responsible for the integrity of the accounting records and financial statements, including booking appropriate month-end accounting entries, reconciling inter-company transactions, researching customer AR chargebacks and supporting AP analysts in addressing open supplier payment issues.
· Review, consolidate, oversee and implement management and financial reporting.
· Manage and analyze the financial results, including highlighting accounting, financial and operational issues, and provide recommendations.
· Implement management systems to provide appropriate financial headlights on measurements and operating metrics to help the plant management team address issues and achieve their operating objectives.  
· Manage the overall forecasting & budgeting processes for the plant.
· Implement management systems to provide appropriate financial headlights on forecasts & budgets.
· Provide financial and business advice and recommendations to the plant team on operating decisions and support production capacity and manpower planning processes.
· Establish and review annual financial and operating budgets with the plant management team and participate in the development and execution of plant business action plans and priorities.
· Support development of plant, department and individual financial and operating targets to establish accountability throughout the operation.
· Perform financial and operational risk assessments and develop, support & monitor business control requirements to ensure risks are effectively mitigated. 
· Leadership in assessing and identifying any control issues and partner with plant management team to develop solutions and train staff on control requirements.
· Partner with Operations and Materials Management to monitor inventory levels and deploy control processes for inventory management and reporting. 
· Lead the capital budgeting process, including developing business cases to assess investments.","REQUIREMENTS:
 · Professional Accounting Designation (CPA) or University Business Degree
· Accounting / Finance experience at a Senior Position
· Manufacturing experience required, Automotive industry experience preferred
· Supervisory / Management experience is an asset
· Strong teamwork & organizational skills",Specialization : Finance and Accounting
Contract / Temporary,"Toronto, ON",AML Analyst Level 1,$35.00 - $40.00 / Hr,"Are you an Anti Money Laundering Analyst Level 1 looking for a contract opportunity? Reporting to the AML Alerts Manager, the AML Analyst Level 1 will review transaction alerts and review the alert against required criteria. Using internal data bases the Anti Money Laundering Analyst Level 1 will review personal information and transaction data against information provided in data bases of the financial institution. This hybrid opportunity will have scheduled onsite workdays and scheduled home days.","The ideal candidate will have 2 to 3 years work experience in a similar role for a bank or financial institution. The AML Analyst Level 1 will have a proven track record of adjudicating transactions and either closing the case or escalating for further investigation. The worksite for this contract opportunity is Brookfield Place in downtown Toronto, easily accessible by the TTC King or Union Stations. This contract opportunity requires professional business English verbal and written communication skills. To learn more about this contract opportunity please click the APPLY NOW button and submit an current resume detailing your AML experience

Keywords: AML, Anti Money Laundering, Financial Crimes, Transaction Monitoring",Specialization : Finance & Accounting
